GBR1_site,decimalLatitude,decimalLongitude,mean_wspeed_u,mean_wspeed_v,mean_wind_speed,sd_wind_speed,cv_wind_speed,min_wind_speed,max_wind_speed,wind_speed_range,wind_vector_magnitude,mean_wind_direction,wind_directional_constancy,wind_directional_variability,predominant_wind_sector,dominant_wind_season,mean_wave_energy_proxy,wind_transport_potential,wind_dispersal_symmetry,wind_retention_potential,wind_exposure_category,wind_seasonal_variability_category,mean_u,mean_v,current_seasonal_variability_category,mean_current_speed,sd_current_speed,cv_current_speed,min_current_speed,max_current_speed,current_speed_range,mean_current_direction,predominant_current_sector,dominant_current_season,current_transport_potential,current_dispersal_symmetry,current_retention_potential,current_exposure_category,current_regime_type
Aken_25,-18.27814241,147.3794371,-4.669802593,2.219550114,5.4381154,1.787498499,0.328698155,1.147506105,8.73167993,7.584173824,5.170440887,115.4216703,0.950778074,0.049221926,SE,Winter,212.2079226,5.170440887,0.141282917,0.009051284,Moderate,High,0.02475249,-0.05492616,Moderate,0.090462872,0.069868203,0.7723412,0.004703145,0.334937048,0.330233903,335.7412781,NW,Spring,0.060245903,0.726379573,3.692412005,High_Flow,Steady_Weak
Aken_25.1_Magnetic,-19.16586516,146.8521018,-3.269982808,0.910529527,3.79395796,0.937489683,0.247100704,1.045827464,6.084336687,5.038509223,3.394385303,105.5599071,0.894681844,0.105318156,E,Autumn,64.45194403,3.394385303,0.138107791,0.027759442,Sheltered,Low,-0.003435283,-6.82E-04,Low,0.003752248,0.001971262,0.525354838,4.55E-04,0.010775666,0.010320387,78.77442867,E,Summer,0.003502287,0.084473493,17.75371404,Low_Flow,Steady_Weak
Aken_25.2_Magnetic,-19.16602828,146.8521022,-3.269289108,0.910102985,3.793161572,0.937214276,0.247079978,1.045601047,6.082747933,5.037146886,3.393602616,105.5561112,0.894663344,0.105336656,E,Autumn,64.4095692,3.393602616,0.138109715,0.027770147,Sheltered,Low,-0.003419238,-6.80E-04,Low,0.003735098,0.001960248,0.524818266,4.57E-04,0.010719325,0.010262345,78.75024439,E,Summer,0.003486222,0.084565466,17.83937863,Low_Flow,Steady_Weak
Aken_25_Lizard,-14.64617416,145.4560295,-4.90251235,4.150763195,6.604258929,3.148285458,0.476705334,0.054104543,11.20880208,11.15469754,6.423664253,130.2532686,0.972654816,0.027345184,SE,Winter,467.5752137,6.423664253,0.257674116,0.004140538,Exposed,High,-0.048936099,0.03370875,Moderate,0.077322549,0.038860011,0.502570232,0.006714816,0.143042337,0.136327522,124.560313,SE,Winter,0.0594224,0.367117361,2.993948553,Moderate_Flow,Steady_Weak
Aken_25_Orpheus,-18.56339668,146.4863885,-3.385853106,1.617109409,4.223164649,1.313626652,0.311052673,1.092060031,7.059049305,5.966989273,3.752205231,115.5294987,0.888481871,0.111518129,SE,Autumn,97.47328977,3.752205231,0.198266374,0.026406294,Sheltered,Moderate,-0.025473302,0.024555371,Low,0.040963799,0.015254458,0.372388765,0.014290465,0.087080177,0.072789711,133.9488488,SE,Autumn,0.035381568,0.378150885,3.326651872,Low_Flow,Steady_Weak
Aken_25_Tydeman,-13.9714535,144.5109898,-5.715560741,3.330767502,6.876679641,3.388591147,0.492765597,0.426488708,11.54969786,11.12320915,6.61525863,120.231677,0.961984413,0.038015587,SE,Winter,542.4814792,6.61525863,0.16884877,0.005528189,Exposed,High,-0.031206521,-0.013660075,Low,0.045375288,0.023116572,0.50945291,0.003357307,0.147355818,0.14399851,66.35949294,NE,Spring,0.034065299,0.312257339,5.493174211,Low_Flow,Steady_Weak
Aken_26_Lizard,-14.64618992,145.456054,-4.902502764,4.150753045,6.604245558,3.148281421,0.476705688,0.054108118,11.20879166,11.15468354,6.423650379,130.2532547,0.972654684,0.027345316,SE,Winter,467.5726375,6.423650379,0.257674064,0.004140566,Exposed,High,-0.048968847,0.033778692,Moderate,0.077392527,0.038916403,0.502844457,0.006722497,0.143199065,0.136476568,124.5978969,SE,Winter,0.059489057,0.367266475,2.989091108,Moderate_Flow,Steady_Weak
Aken_26_Magnetic,-19.16609718,146.8522852,-3.269552962,0.910270527,3.793468277,0.937321824,0.247088352,1.045685081,6.083360645,5.037675564,3.393901738,105.5576414,0.894669861,0.105330139,E,Autumn,64.42591822,3.393901738,0.138109845,0.027766184,Sheltered,Low,-0.003422556,-6.79E-04,Low,0.003738379,0.001961993,0.524824591,4.57E-04,0.010725975,0.010268833,78.77465847,E,Summer,0.00348931,0.084481166,17.82187255,Low_Flow,Steady_Weak
Aken_26_Orpheus,-18.56332032,146.4864418,-3.385906813,1.617160249,4.223229212,1.313666054,0.311057247,1.092072917,7.059184553,5.967111635,3.752275605,115.5298458,0.888484952,0.111515048,SE,Autumn,97.47843589,3.752275605,0.198265914,0.026405161,Sheltered,Moderate,-0.025392209,0.02447125,Low,0.040862506,0.015224214,0.372571713,0.014292917,0.086923194,0.072630277,133.9418893,SE,Autumn,0.035264803,0.378593948,3.352431182,Low_Flow,Steady_Weak
Aken_26_Tydeman,-13.97101589,144.5097673,-5.714444084,3.329578995,6.875581871,3.388745288,0.492866691,0.427934285,11.55234536,11.12441108,6.613695448,120.2276518,0.961910653,0.038089347,SE,Winter,542.3319107,6.613695448,0.168878476,0.0055398,Exposed,High,-0.033356684,-0.015030819,Low,0.048911507,0.025498078,0.521310425,0.004897345,0.163622713,0.158725368,65.74324831,NE,Spring,0.0365868,0.318019697,5.151746982,Low_Flow,Steady_Weak
