Site,Variable,Latitude,Longitude,overall_mean,overall_median,overall_sd,overall_cv,overall_min,overall_max,overall_range,overall_p25,overall_p75,overall_p95,n_months,n_years,date_start,date_end,variable_type
Amil_21_Magnetic,wspeed_v,-19.16566123,146.8519413,0.9107419578069776,0.8199318184413634,1.7124494265827273,1.8802794928941478,-2.810025837,3.7066450794601025,6.516670916460102,-0.3738552,2.388777661846162,3.4078920050810293,110,11,1/12/2014,1/1/2024,wind
Amil_21_Orpheus,u,-18.56883905,146.4908557,-0.022983388,-0.023492868,0.004980551,0.21670221622160585,-0.034132423,-0.007970567,0.026161856000000004,-0.026148244,-0.020325709,-0.014450119,110,11,1/12/2014,1/1/2024,current
Amil_21_Orpheus,v,-18.56883905,146.4908557,0.012875032333083312,0.014197013,0.012287925970820488,0.9543996203602368,-0.019171726,0.037577427,0.056749153,0.003838384,0.021508746013485302,0.031579108,110,11,1/12/2014,1/1/2024,current
Amil_21_Orpheus,wspeed_u,-18.56883905,146.4908557,-3.43683081,-3.430025113,0.9186610231360017,0.26729887907757144,-5.468245465,-1.098563779,4.369681686,-3.975898639,-2.790001275,-2.077374529,110,11,1/12/2014,1/1/2024,wind
Amil_21_Orpheus,wspeed_v,-18.56883905,146.4908557,1.615466557659237,1.4936059799949686,2.1655295778902834,1.3404979308442455,-2.756799395,5.414027004874382,8.170826399874382,-0.092623979,3.469063247718065,4.862927176051371,110,11,1/12/2014,1/1/2024,wind
Amil_21_SE_Pelorus,u,-18.55845261,146.4883191,-0.013203681,-0.012795347,0.003990111,0.30219690437342844,-0.02345416,-0.003205384,0.020248776000000003,-0.015730506,-0.010772259,-0.006311015,110,11,1/12/2014,1/1/2024,current
Amil_21_SE_Pelorus,v,-18.55845261,146.4883191,0.02379838,0.027371203514508814,0.022193439,0.9325609183009507,-0.037473438,0.085508521,0.122981959,0.007613246,0.036655163750000004,0.058205589,110,11,1/12/2014,1/1/2024,current
Amil_21_SE_Pelorus,wspeed_u,-18.55845261,146.4883191,-3.370716214,-3.367878933,0.9053117889526253,0.26858143239194054,-5.353367885,-1.083618406,4.269749479,-3.911025868,-2.736139186,-2.068082957,110,11,1/12/2014,1/1/2024,wind
Amil_21_SE_Pelorus,wspeed_v,-18.55845261,146.4883191,1.6194447661250337,1.4876877862407967,2.166833003180067,1.3380098219495375,-2.757588794,5.427258877941342,8.184847671941341,-0.084771703,3.470383603371029,4.865927766797048,110,11,1/12/2014,1/1/2024,wind
Amil_21_Sudbury,u,-16.99574417,146.2710555,-0.016768602,-0.021197797,0.028165506,1.6796574142944547,-0.058977693,0.056492678,0.11547037051820012,-0.039444307,0.002883166,0.031118681204515122,110,11,1/12/2014,1/1/2024,current
Amil_21_Sudbury,v,-16.99574417,146.2710555,0.022484640804023456,0.025189851253682904,0.035989331,1.6006184444191036,-0.059628827,0.086623811,0.146252638,-0.004249593,0.052885665250000005,0.075945019,110,11,1/12/2014,1/1/2024,current
Amil_21_Sudbury,wspeed_u,-16.99574417,146.2710555,-3.607747724,-3.768484945,1.2412483794607323,0.3440507692012932,-5.910353559,-0.072188042,5.838165517,-4.46860201,-2.94835117,-1.315029985,110,11,1/12/2014,1/1/2024,wind
Amil_21_Sudbury,wspeed_v,-16.99574417,146.2710555,3.633575285925507,3.6786130080749686,2.4042906615750477,0.6616873113618867,-0.974405837,7.912403907532774,8.886809744532775,1.6588984817658272,5.585064856889725,7.374807547536179,110,11,1/12/2014,1/1/2024,wind
Amil_22_Davies,u,-18.83069767,147.6380047,-0.008013925,-0.013353155,0.041620194,5.193484431780998,-0.086102038,0.14819850436904286,0.23430054236904285,-0.038645749,0.022666085,0.055625278,110,11,1/12/2014,1/1/2024,current
Amil_22_Davies,v,-18.83069767,147.6380047,-0.023852513,-0.021800587,0.030141004338939403,1.2636406424328246,-0.088505648,0.032977666,0.12148331449064807,-0.044713702,5.276099185882596e-4,0.020348338071323795,110,11,1/12/2014,1/1/2024,current
Amil_22_Davies,wspeed_u,-18.83069767,147.6380047,-4.790639045,-4.806398236,1.2474826273855617,0.2604000459587374,-7.510199794,-1.464765729,6.045434065,-5.719963555,-4.060994568,-2.404001173,110,11,1/12/2014,1/1/2024,wind
Amil_22_Davies,wspeed_v,-18.83069767,147.6380047,2.115582819172845,1.9206553684782324,2.140915704939936,1.0119744240393271,-2.516423933,6.035052005457886,8.551475938457886,0.3233413198890617,3.9880328943723407,5.363737241390014,110,11,1/12/2014,1/1/2024,wind
Amil_22_Lizard,u,-14.6870196,145.4395764,-0.066663606,-0.072696023,0.060174267,0.9026554427260679,-0.163605478,0.097119989,0.260725467,-0.123499765,-0.018224727,0.028455561058126085,110,11,1/12/2014,1/1/2024,current
Amil_22_Lizard,v,-14.6870196,145.4395764,0.094709724,0.099149421,0.085798017,0.9059050469299152,-0.127666708,0.2443803576623064,0.3720470656623064,0.025198915211222923,0.17021878948820418,0.2141925488752542,110,11,1/12/2014,1/1/2024,current
Amil_22_Lizard,wspeed_u,-14.6870196,145.4395764,-4.896174078,-5.771269492,2.365076585,0.4830458532073494,-8.041557394,2.3838612396235286,10.42541863362353,-6.764894724,-3.451367017,-0.29768896,110,11,1/12/2014,1/1/2024,wind
Amil_22_Lizard,wspeed_v,-14.6870196,145.4395764,4.181440184769376,4.560560689,2.564701829847341,0.6133537050677182,-1.697522498,8.447705279629595,10.145227777629595,2.165645316940205,6.3843669622839805,8.030644760592214,110,11,1/12/2014,1/1/2024,wind
Amil_22_Magnetic,u,-19.16590129,146.8521029,-0.003431868,-0.003323477,0.001852246,0.5397194664817474,-0.008698967,0.001749159,0.010448126,-0.004432246,-0.002405858,-5.35E-04,110,11,1/12/2014,1/1/2024,current
Amil_22_Magnetic,v,-19.16590129,146.8521029,-6.81E-04,-4.67E-04,0.001507442,2.2120952044338025,-0.007392419,0.002816238,0.010208657,-0.001127323,1.094288446875111e-4,0.001264967,110,11,1/12/2014,1/1/2024,current
Amil_22_Magnetic,wspeed_u,-19.16590129,146.8521029,-3.269833828,-3.263989878,0.9194768980075484,0.28119988548767405,-5.430426006,-0.927723105,4.502702901,-3.866031109,-2.715014306,-1.860230555,110,11,1/12/2014,1/1/2024,wind
Amil_22_Magnetic,wspeed_v,-19.16590129,146.8521029,0.9104378584606182,0.8196243554549836,1.7122489066405377,1.880687287692137,-2.809808878,3.706000110232986,6.515808988232986,-0.374015617,2.3883512778671756,3.4072747582952534,110,11,1/12/2014,1/1/2024,wind
Amil_22_Orpheus,u,-18.56878247,146.4905195,-0.023186862,-0.023718405,0.005031731,0.21700785785848187,-0.034462801,-0.008129949,0.026332852000000004,-0.026357448,-0.020466447,-0.01450961,110,11,1/12/2014,1/1/2024,current
Amil_22_Orpheus,v,-18.56878247,146.4905195,0.013417986720273875,0.014791915,0.012369179,0.9218356712618032,-0.01895066,0.038379696,0.057330356,0.00430902,0.022108776,0.03223446,110,11,1/12/2014,1/1/2024,current
Amil_22_Orpheus,wspeed_u,-18.56878247,146.4905195,-3.435623661,-3.42903417,0.9184014831242442,0.26731725408037743,-5.466219409,-1.098327843,4.367891566,-3.974540114,-2.789102932,-2.077314437,110,11,1/12/2014,1/1/2024,wind
Amil_22_Orpheus,wspeed_v,-18.56878247,146.4905195,1.6152745064574237,1.4932435043939916,2.165433366654309,1.3405977485545035,-2.75693583,5.413759750683405,8.170695580683406,-0.092698466,3.4687686615730726,4.8623766791776815,110,11,1/12/2014,1/1/2024,wind
Amil_22_SE_Pelorus,u,-18.5584475,146.4883128,-0.013196967,-0.012788199,0.003988986,0.30226533654218646,-0.023444465,-0.003202507,0.020241958,-0.015723445,-0.010764466,-0.006306554,110,11,1/12/2014,1/1/2024,current
Amil_22_SE_Pelorus,v,-18.5584475,146.4883128,0.023792268,0.027364747165398464,0.022191192,0.9327060393878978,-0.037473027,0.085497889,0.12297091599999999,0.007608726,0.036647768,0.058196616,110,11,1/12/2014,1/1/2024,current
Amil_22_SE_Pelorus,wspeed_u,-18.5584475,146.4883128,-3.370720295,-3.367884821,0.9053128005373956,0.26858140735688163,-5.353371983,-1.083619772,4.269752211,-3.911028441,-2.73614312,-2.068082886,110,11,1/12/2014,1/1/2024,wind
Amil_22_SE_Pelorus,wspeed_v,-18.5584475,146.4883128,1.6194499284397341,1.4876933056827464,2.1668352930812644,1.338006970779832,-2.75758593,5.427268454112343,8.184854384112343,-0.084767521,3.470390511937379,4.8659385098994985,110,11,1/12/2014,1/1/2024,wind
