Site Name,k_value_GBR1,lat_GBR1,long_GBR1,mean_temp,sd_temp,skew_temp,kurtosis_temp,MaxMonthMean,mean_duration_DHD,MinMonthMean,mean_duration_DCD,mean_daily_temp_range,mean_annual_temp_range,temporal_autocorr_daily,temporal_autocorr_annual,slope_annual_temp_change
Aken_18_Lizard,5.35,-14.644904,145.455371,27.09293058506063,1.922519912368147,-0.05035154,1.7142431943263425,29.55535947186149,17.333333333333332,24.513641871323944,21.88888888888889,0.21652818444003483,6.217011006866371,0.9976118878189562,0.2822333139999099,0.07442219
2241,5.35,-14.689904,145.465371,27.056629373006366,1.9042303288350604,-0.061326735,1.7118593387451966,29.49905876495382,16.444444444444443,24.494371077303505,24,0.252027511,6.146485645,0.9972286699458137,0.3119654607437587,0.077536077
436,5.35,-14.689904,145.470371,27.06158554660014,1.901650066664714,-0.057929022,1.7256206259613156,29.499756353313703,16.22222222222222,24.501953847477406,23.88888888888889,0.27604658387473974,6.268660393188974,0.9962350818717625,0.3184466542211035,0.078586682
821,5.35,-14.649904,145.490371,27.095126176274942,1.8895420435070074,-0.052547388,1.7176789970249249,29.51842341120952,17.444444444444443,24.569208538171615,22.22222222222222,0.2278637327284371,6.091575079994461,0.9976037680914922,0.28010908592731515,0.075967641
Aken_489,2.35,-14.639904,145.490371,27.169459833806613,1.934668915265982,-0.01926533,1.7491202401610206,29.665948685441695,15.555555555555555,24.59964765513081,21.22222222222222,0.3581455848310394,6.517756144329166,0.9965533917838575,0.2737530454103316,0.077003025
Aken_490,0.5,-14.639904,145.490371,27.25412815951468,2.008245963515354,0.02688053,1.8036694931204367,29.859594610660924,14.555555555555555,24.607618385657247,21.555555555555557,0.6385919431257989,7.041704884695962,0.9932610307531973,0.2713853166015833,0.079346535
Aken_496,5.35,-14.639904,145.490371,27.094983871819448,1.8811237072375453,-0.051775494,1.7167899704246294,29.50823988428209,17.555555555555557,24.584571808703334,21.77777777777778,0.22093893287905877,6.043355983658881,0.9976903933474195,0.2759703097875414,0.075656335
2276,5.35,-14.649904,145.495371,27.094289712208127,1.881449515648355,-0.051609863,1.717135694214885,29.507698736057083,17.555555555555557,24.58340994098716,21.88888888888889,0.2224017703771804,6.0490599051260014,0.9976539496000874,0.2763587611156154,0.075919934
Ahya_35b,5.35,-14.474904,145.500371,27.139554500994404,1.6908871622084398,-0.010634694,1.7410449099543368,29.32753129661925,16.88888888888889,24.944103821241985,25.77777777777778,0.23205304900838902,5.455150889922475,0.9973268080944946,0.24611762495281317,0.078780938
Ahya_37b,2.35,-14.474904,145.500371,27.21293163809204,1.7467631322927821,0.031324165,1.790876714960535,29.484394600809427,15.666666666666666,24.96385248741404,25.77777777777778,0.3604335512668294,5.908332999748698,0.996403729,0.2350145044131322,0.078619273
Aken_1463,9,-14.474904,145.500371,27.066612812586484,1.6335468306657945,-0.045353783,1.7163474699572956,29.184645412616263,18.22222222222222,24.929272412113193,25.11111111111111,0.20242261777748158,5.150107315860209,0.9978846922515663,0.27052518391836894,0.080989325
Ahya_10b,2.35,-14.474904,145.505371,27.21596956697925,1.7366884380734826,0.032205918,1.7908955479557942,29.475931106632736,16.88888888888889,24.984217843352496,25.666666666666664,0.3473223728148618,5.864389682482305,0.99649979,0.2327521395714746,0.078330608
Ahya_12b,5.35,-14.474904,145.505371,27.145711385199718,1.6815786757368032,-0.009892824,1.7407094335886193,29.32311383757872,17.333333333333332,24.96679032,26,0.2335702243538884,5.415834898,0.9973946441937972,0.2458996244122408,0.078842692
Aken_1386,9,-14.474904,145.505371,27.077915592570513,1.6266638893628869,-0.043089246,1.7174834785958817,29.18762293753179,18.666666666666668,24.95494685701454,25.88888888888889,0.2070135328678754,5.133947374925053,0.9978687458237202,0.26987105575911646,0.080970356
Ahya_44b,0.5,-14.739904,145.510371,27.254950533031327,2.019251585744872,0.033224743,1.8036409506417523,29.87563334867081,14.666666666666666,24.599171914149714,21.666666666666664,0.6439662340968384,7.015037658924883,0.9934245614785299,0.27122416849343367,0.07988581
Ahya_45b,0.5,-14.744904,145.510371,27.25478969781078,2.0211863786432076,0.032047334614071284,1.800370802495572,29.876664105157573,14.222222222222221,24.596277057166724,21.666666666666664,0.6414863081461569,7.003046075825478,0.9934709496291922,0.27157840022281493,0.079735543
Ahya_47b,2.35,-14.744904,145.510371,27.171942861982807,1.9503224456411232,-0.012844425,1.7469454238507804,29.690586308673673,15.777777777777779,24.587160388608854,21.77777777777778,0.35386154814706544,6.569826755955311,0.9966611073262591,0.2737482773220359,0.077375516
Ahya_79b,2.35,-14.739904,145.510371,27.172301849820258,1.9483668957266234,-0.011816848,1.7494569374088376,29.68990938256429,15.777777777777779,24.59045113585386,21.88888888888889,0.35562253587533854,6.565040898420699,0.9966211761396492,0.2733604233430955,0.077543082
Aken_1449,5.35,-14.744904,145.510371,27.098065944096486,1.8991277593305482,-0.044002688,1.712881459965639,29.52659323248433,16.22222222222222,24.57050252990508,23.333333333333336,0.20802835873430414,6.068871648965769,0.9978316133141675,0.2765683816686113,0.075869942
Ahya_61b,2.35,-14.744904,145.515371,27.173206688519905,1.9444841829593698,-0.012791995,1.7487824933543903,29.683961042583686,15.555555555555555,24.59681246426695,21.88888888888889,0.3547881478957509,6.552716351,0.9966509859110843,0.2719888884419965,0.077387632
Ahya_63,0.5,-14.744904,145.515371,27.255886529052656,2.015282099156913,0.032491802,1.8027969610844607,29.870078855052558,12.666666666666666,24.605819434901385,21.666666666666664,0.641667747,6.990976103293504,0.9934249129520178,0.2695388905547297,0.079694823
Ahya_100b,0.5,-14.649904,145.640371,27.317104481069588,1.7989370686518034,0.092466913,1.8712486440438452,29.684752316055405,14.333333333333334,25.020709236195582,19.88888888888889,0.688868182,6.37627932,0.9928132458983296,0.2285768317584689,0.080655229
Ahya_102b,2.35,-14.649904,145.640371,27.226410314975755,1.7273938479626347,0.03949378,1.794148605880683,29.493041100459166,17.11111111111111,25.00095265709897,24.444444444444443,0.39246641109910807,5.8356573574210895,0.9962958125285881,0.22803655969576303,0.078615665
Aken_1309,5.35,-14.649904,145.640371,27.141161711575315,1.6727137358316921,4.858064466212717e-4,1.7419976526725187,29.311990699993725,18.88888888888889,24.97225065749703,30.22222222222222,0.24691182859872207,5.351647940629202,0.9973887758471245,0.23687170330723092,0.079000159
Aken_1339,9,-14.649904,145.640371,27.053538608070088,1.621150096231206,-0.033210584,1.7091899424939474,29.16647392818747,18.444444444444443,24.937950521971942,31.77777777777778,0.2004748253381209,5.059367068826052,0.9981565134026946,0.2624730949220442,0.081370364
Ahya_268,0.5,-16.039904,145.650371,27.306445861481304,2.1185191758544444,0.022456693536995555,1.819288734273703,30.033637215223848,16.333333333333332,24.432059820140136,21.77777777777778,0.6569846485030671,7.454491622039614,0.993711921,0.28059800289769377,0.065761358
Ahya_287,2.35,-16.039904,145.650371,27.234743492463124,2.0590085592248717,-0.008561043,1.7807258100441339,29.87718909863314,16.666666666666668,24.428116402351993,21.88888888888889,0.4189103696868596,7.058303860184441,0.9957541259240149,0.2919843434991622,0.065417446
Ahya_255,0.5,-16.074904,145.840371,27.348302091947332,1.948144105,0.04878347,1.8634710207969625,29.884047201282097,17.666666666666668,24.770208664703098,20.77777777777778,0.6250457036553314,6.907882844148991,0.994061168,0.24198330895631442,0.064981998
Ahya_161b,0.5,-16.074904,145.845371,27.346664841826207,1.9441531239022916,0.047876736,1.860875445426078,29.87580371583163,17.666666666666668,24.773013399730875,20.22222222222222,0.6275025079526912,6.878044400767658,0.9942755784864082,0.24321763068228905,0.065166768
Ahya_174,2.35,-16.074904,145.845371,27.270948507353975,1.8880036622472405,0.014480549280301333,1.8123386917303153,29.72613094500463,19,24.757391593683806,20.77777777777778,0.37953351671048247,6.454430848395684,0.9963680848633957,0.2528449468141186,0.065143286
Aken_1180,5.35,-16.074904,145.845371,27.155011313323506,1.8101899343893455,-0.031739222,1.755627363658895,29.48020903125805,21.88888888888889,24.727428515964927,23.555555555555557,0.21732076364718164,5.895829485,0.9977358426510361,0.2423694299276538,0.064597944
Aspat_833,0.5,-16.939904,145.980371,27.313652038060972,2.383018131529152,-0.160328313,1.7321146386847648,30.173668613824603,16.333333333333332,23.740785157114956,22.22222222222222,0.6179844251224683,8.194673903150179,0.995374477,0.3527853116789437,0.054410933
