Date,Variable,Site,Latitude,Longitude,mean,median,p5,p95,lowest,highest
1/1/2021,wspeed_v,OCDA_BA1D,-18.82579,147.62735,2.8636775460899297,3.4947381450184913,-4.507250089,7.398140411348812,-8.331694877,9.524511437333398
1/1/2021,wspeed_v,OCDA_BA1S,-18.8259,147.62727,2.8637146203044557,3.494709548935987,-4.507049451,7.398017106322909,-8.331547588,9.524569308298116
1/1/2021,wspeed_v,OCDA_BA2D,-18.81433,147.6372,2.850567627726076,3.5174794625940753,-4.552007587,7.364335153986596,-8.360844327,9.507673078422608
1/1/2021,wspeed_v,OCDA_BA2S,-18.81448,147.6372,2.850645645734044,3.517446267385372,-4.551539825,7.364413947524218,-8.360519848,9.507799802348071
1/1/2021,wspeed_v,OCDA_FL1D,-18.80592,147.6688,2.8348125001573408,3.5769977969716384,-4.621968349,7.343019763108547,-8.392432576,9.497734480925233
1/1/2021,wspeed_v,OCDA_FL1S,-18.80575,147.6686,2.834680712507022,3.577053557964426,-4.623660593,7.342434114511708,-8.39152433,9.497626503
1/1/2021,wspeed_v,OCDA_FR1D,-18.81966,147.66394,2.8494926196591837,3.5551322857623484,-4.52633476,7.401078026614263,-8.324726833,9.515320357
1/1/2021,wspeed_v,OCDA_FR1S,-18.8192,147.66391,2.8493086474065668,3.5552047272388467,-4.526800015,7.400842240170599,-8.326087307,9.515041083705878
1/1/2021,wspeed_v,OCDA_FR2D,-18.83191,147.65257,2.863009127944125,3.5052723031839252,-4.43229846,7.418793985132023,-8.281202023,9.531980031562846
1/1/2021,wspeed_v,OCDA_FR2S,-18.83187,147.6525,2.8630025242461024,3.5052856387073565,-4.432445096,7.418690722774578,-8.281291225,9.531959269789938
1/1/2021,wspeed_v,OCDA_LA1S,-18.833,147.63338,2.8674349788111972,3.4963021823231673,-4.461037357,7.376396180312725,-8.29892985,9.533223477040643
1/1/2021,wspeed_v,OCDA_LA2S,-18.83125,147.63316,2.866468959839079,3.4982455727628885,-4.467268221,7.374922355208293,-8.303278801,9.531628438374778
1/1/2021,wspeed_v,OCLB_BA1S,-18.9493475,147.6929265,2.956088653,3.542210239313192,-4.308946413,7.496721078693653,-7.924167069,9.705093662
1/1/2021,wspeed_v,OCLB_FL1S,-18.944062,147.699285,2.947376851306592,3.5413242570104324,-4.342094413,7.471042954950386,-7.984961558,9.684887072334144
1/1/2021,wspeed_v,OCLB_LA1S,-18.949382,147.701909,2.952372836,3.5462777907956426,-4.321899858,7.482490945589358,-7.965616411,9.701589702321682
1/1/2021,wspeed_v,PAOR_FL1D,-18.5715,146.4954,3.0606791147012262,3.0913550500561255,-1.743529428,7.938890602780765,-7.425816375,9.674718936
1/1/2021,wspeed_v,PAOR_FL1S,-18.5720395,146.495178,3.0607312333392107,3.0949356698570645,-1.744775782,7.938165166378914,-7.415302745,9.673931486476155
1/1/2021,wspeed_v,PAPE_BA1D,-18.5505,146.4882,3.0847534538753716,3.115628672949131,-1.773122219,7.901325359172927,-6.708580497,9.705091904439904
1/1/2021,wspeed_v,PAPE_BA1S,-18.5508,146.4884,3.0846560884704286,3.115606281985971,-1.773289763,7.9013854778948795,-6.71102946,9.704960954052138
1/1/2021,wspeed_v,PAPE_BA2D,-18.5408,146.4885,3.09029733,3.0932058024208806,-1.798573534,7.901813559349502,-6.691113648,9.729941523870222
1/1/2021,wspeed_v,PAPE_BA2S,-18.541,146.4886,3.090236109379614,3.092986923168933,-1.798662388,7.901900453274118,-6.692812094,9.729869083290835
1/1/2021,wspeed_v,PAPE_FR1D,-18.5394,146.4995,3.076200810321882,3.0493837338128476,-1.802703511,7.955124643462611,-7.251296667,9.742207413845495
1/1/2021,wspeed_v,PAPE_FR1S,-18.6026485,146.500263,3.049999104432223,3.0114762217148154,-1.633258513,7.967378657066464,-7.304987749,9.634132177276992
1/1/2021,wspeed_v,TSAU_BA1S,-9.867615,143.389355,-0.670616879,-0.333732952,-5.699172472,3.382488593359607,-7.405759309,5.089240870711631
1/1/2021,wspeed_v,TSAU_BA2S,-9.8757,143.388545,-0.674534081,-0.333654153,-5.710060031,3.376405842692041,-7.399112786,5.081401950632348
1/1/2021,wspeed_v,TSAU_FL1S,-9.882025,143.39442,-0.675767339,-0.334489973,-5.710183067,3.3689263388099375,-7.393104553,5.073104682279645
1/1/2021,wspeed_v,TSAU_FR1S,-9.87996,143.41004,-0.66855513,-0.329287066,-5.693756607,3.379856491775271,-7.384080116,5.056138835550609
1/1/2021,wspeed_v,TSAU_FR2D,-9.88359,143.40722,-0.669959931,-0.330084122,-5.694558857,3.3850751302255793,-7.382630807,5.054496606054548
1/1/2021,wspeed_v,TSAU_FR2S,-9.88359,143.407125,-0.669973496,-0.330132668,-5.694561809,3.385040882369583,-7.382652843,5.054536605615818
1/1/2021,wspeed_v,TSDU_BA1S,-9.88136,142.92542,-0.872153364,-0.534225916,-6.230745732,3.2756839752812588,-7.471744258,5.017083862098678
1/1/2021,wspeed_v,TSDU_BA2S,-9.878565,142.932925,-0.867705744,-0.541129041,-6.229181522,3.2658833212381184,-7.447761404,5.026447605918734
1/1/2021,wspeed_v,TSDU_BA3S,-9.985315,142.90854,-0.868784056,-0.579592879,-6.210539489,3.366495490171829,-7.662036914,4.996968618
1/1/2021,wspeed_v,TSDU_FR1S,-9.9312,143.00543,-0.830780909,-0.502242566,-6.17227797,3.375943173879696,-7.469388636,5.103909988171693
1/1/2021,wspeed_v,TSDU_FR2S,-10.03707,142.926535,-0.849941256,-0.600000024,-6.201065826,3.3629071834027275,-7.731648296,5.017732996387656
1/1/2021,wspeed_v,TSDU_LA1S,-9.934095,142.922705,-0.869228007,-0.591292805,-6.249349265,3.3417057894500326,-7.566658431,5.015146577938892
1/1/2021,wspeed_v,TSMA_BA1D,-9.748695,143.399805,-0.610877926,-0.24434862,-5.657223825,3.3891243382118725,-7.480145407,5.194452084
1/1/2021,wspeed_v,TSMA_BA1S,-9.748895,143.399825,-0.610920669,-0.244554721,-5.657479215,3.3892235339234733,-7.480117128,5.1943001740359875
1/1/2021,wspeed_v,TSMA_BA2D,-9.74409,143.41574,-0.601897118,-0.253991086,-5.631371161,3.3875657834460076,-7.476221683,5.205420484
1/1/2021,wspeed_v,TSMA_BA2S,-9.7442395,143.415763,-0.602929198,-0.252012033,-5.637615885,3.390183149670518,-7.475376753,5.201937668772067
1/1/2021,wspeed_v,TSMA_FL1S,-9.759895,143.39796,-0.618580466,-0.259105618,-5.666700906,3.3998556966273306,-7.478826835,5.173760408499928
1/1/2021,wspeed_v,TSMA_FR1D,-9.763955,143.417,-0.615035204,-0.235546351,-5.662342011,3.4133978106749767,-7.469206634,5.170002348412379
1/1/2021,wspeed_v,TSMA_FR1S,-9.76224,143.421395,-0.611866018,-0.234685672,-5.651649079,3.415936797293044,-7.465909526,5.173440947354023
1/1/2021,wspeed_v,TSMA_FR2D,-9.74637,143.46012,-0.588558201,-0.233034613,-5.625380877,3.373251207845485,-7.457519181,5.1997970959623485
1/1/2021,wspeed_v,TSMA_FR2S,-9.74838,143.458505,-0.590564887,-0.23056366,-5.634153683,3.3743015780494603,-7.45640819,5.196767579145817
1/1/2021,wspeed_v,TSMA_LA1S,-9.73404,143.43519,-0.590214298,-0.237610493,-5.598731717,3.3839962105492707,-7.47254963,5.2157044833227335
1/1/2021,wspeed_v,ONMO_BA1S,-16.8472105,146.217424,3.9399915440068174,5.744489013887417,-7.588201443,9.60527852,-12.36918449,16.82661143068571
1/1/2021,wspeed_v,ONMO_FL1S,-16.8485425,146.237223,3.859691030839279,5.554152953387981,-7.604511077,9.560664563370937,-12.26941171,16.56801541699191
1/1/2021,wspeed_v,ONMO_FR1D,-16.872083,146.2536695,3.8328954600484835,5.442915703,-7.627533054,9.510319697321991,-12.21031978,16.465435149539097
1/1/2021,wspeed_v,ONMO_FR1S,-16.872041,146.2536145,3.8329427003413974,5.442932514480597,-7.627509569,9.51038514,-12.21038522,16.465573996649226
1/1/2021,wspeed_v,ONMO_FR2D,-16.8830355,146.244797,3.873614898417798,5.541203535059215,-7.621697723,9.547071702,-12.24707183,16.556107394587517
1/1/2021,wspeed_v,ONMO_FR2S,-16.882674,146.244602,3.8737816707035666,5.540972090488838,-7.621481956,9.547470612916714,-12.24747076,16.556858471881586
1/1/2021,wspeed_v,ONMO_FL1D,-16.8484505,146.2372885,3.859566570196768,5.5542073427047916,-7.604516935,9.560500832640312,-12.26931617,16.567762616203403
1/1/2021,wspeed_v,ONMO_LA1S,-16.859841,146.2256785,3.9259734924485157,5.721320975678419,-7.592553737,9.622664241394281,-12.33652829,16.722495474237146
1/1/2021,wspeed_v,ONMO_LA1D,-16.8599245,146.2257455,3.9258308877888566,5.721160522,-7.592601197,9.622648809456368,-12.3363105,16.72209787784028
1/1/2021,wspeed_v,ONMO_BA1D,-16.8471725,146.2174315,3.9399614900742974,5.744507491,-7.588208373,9.605212200595338,-12.36917668,16.82662081105554
1/1/2021,wspeed_v,ONMO_BA2D,-16.881947,146.1837795,4.127466575983397,6.031167183473346,-7.524717275,9.787131325333474,-12.5453753,17.236751937597116
1/1/2021,wspeed_v,ONMO_BA2S,-16.8820015,146.183993,4.127130609894567,6.030444143626713,-7.524848113,9.787086303474938,-12.54498718,17.235851070161218
1/1/2021,wspeed_v,ONLI_FR1S,-14.6912735,145.4693795,2.1215687407855874,2.0818344308889847,-5.261642611,9.125174099726618,-10.95475341,10.951421198634213
1/1/2021,wspeed_v,ONLI_FL1S,-14.6980975,145.445447,2.1503643200888862,2.1163638756029233,-5.182887506,9.194342103,-10.97702021,10.999517894478991
1/1/2021,wspeed_v,ONLI_FR2S,-14.649439,145.492935,2.055192026981362,2.009353624800707,-5.209353767,9.06010648,-10.82939203,10.840159336792173
1/1/2021,wspeed_v,ONLI_LA1S,-14.6877065,145.465276,2.1216257083057912,2.0818594275255493,-5.253292027,9.124565773,-10.9518323,10.960493779288031
1/1/2021,wspeed_v,ONLI_BA1D,-14.65072495,145.4502155,2.0809974860111393,1.9963280938795738,-5.140574965,9.130349160911203,-10.85078721,10.950916106655232
1/1/2021,wspeed_v,ONLI_BA1S,-14.650714,145.450096,2.081072147093598,1.9964881727099857,-5.140612319,9.130576431527372,-10.85087869,10.95095446012752
1/1/2021,wspeed_v,ONLI_BA2S,-14.667794,145.441894,2.120792625026224,2.042718974810012,-5.188440212,9.192686374246192,-10.90973267,10.975638330102967
