projectID,scientificAbbreviation,locality,decimalLatitude,decimalLongitude,depthOfColonyinMetersCorrected,EcoPlotID_full
ECT1,Aken,Pelorus,-18.55944352,146.5022779,4.4,Aken_1960
ECT1,Aken,Chicken,-18.67048664,147.7063112,4.4,Aken_1866
ECT1,Aken,Chicken,-18.67046719,147.7062929,4.4,Aken_1867
ECO03,Ahya,Lady_Musgrave,-23.884903,152.413621,4.5,CBLM_FL1S
ECO03,Pver,Moore_Reef,-16.872041,146.2536145,4.5,ONMO_FR1S
ECO03,Spis,Dungeness,-9.9312,143.00543,4.5,TSDU_FR1S_P2
ECO03,Pdam,Lady_Musgrave,-23.8943095,152.404054,4.5,CBLM_BA2S_P2
ECO03,Shys,Lady_Musgrave,-23.896318,152.4138515,4.5,CBLM_LA1S_P2
ECO03,Shys,Lady_Musgrave,-23.8963465,152.414007,4.5,CBLM_LA1S_P3
ECO03,Pdam,Halfway,-23.2017915,150.9666105,4.5,KEHW_BA1S_P3
ECO03,Pdam,Middle,-23.162169,150.920964,4.5,KEMD_BA1S_P1
ECO03,Pmas,Moore_Reef,-16.8719965,146.253583,4.5,ONMO_FR1S_P3
ECO03,Pmas,Moore_Reef,-16.8471265,146.217468,4.5,ONMO_BA1S_P2
ECO03,Pmas,Pelorus,-18.5396,146.4991715,4.5,PAPE_FR1S_P2
ECO03,Pmas,Little_Broadhurst,-18.9440645,147.699442,4.5,OCLB_FL1S_P1
ECO03,Pmas,Little_Broadhurst,-18.949407,147.692884,4.5,OCLB_BA1S_P3
ECT1,Aken,Tydeman,-13.97086116,144.5096105,4.5,Aken_4_Tydeman
ECT1,Aken,Tydeman,-13.9710236,144.5097404,4.5,Aken_6_Tydeman
ECT1,Aken,MacGillivray,-14.64134811,145.4915453,4.5,Aken_497
ECT1,Aken,Myrmidon,-18.2779767,147.3787863,4.5,Aken_8
ECT1,Aken,Kelso,-18.4243026,146.9864343,4.5,Aken_1815
ECT1,Aken,Pelorus,-18.55920154,146.5023737,4.5,Aken_1924
ECT1,Aken,Pelorus,-18.55916181,146.5024404,4.5,Aken_1926
ECT1,Aken,Pelorus,-18.55943992,146.5022733,4.5,Aken_1936
ECT1,Aken,Chicken,-18.67001826,147.7062945,4.5,Aken_1872
ECT1,Aken,Chicken,-18.67000644,147.7067526,4.5,Aken_1887
ECT1,Aken,Chicken,-18.67010778,147.7067678,4.5,Aken_1891
ECO03,Ahya,Lady_Musgrave,-23.894298,152.404406,4.6,CBLM_BA2S
ECO03,Pver,Lizard_Island,-14.691274,145.46938,4.6,ONLI_FR1S
ECO03,Pver,Lizard_Island,-14.649549,145.493068,4.6,ONLI_FR2S_P2
ECO03,Spis,Lady_Musgrave,-23.916998,152.3926315,4.6,CBLM_FL2S_P4
ECO03,Shys,Heron,-23.4561805,151.925674,4.6,CBHE_FL1S_P3
ECO03,Pmas,Moore_Reef,-16.8721375,146.253599,4.6,ONMO_FR1S_P2
ECO03,Pmas,Moore_Reef,-16.87181,146.253624,4.6,ONMO_FR1S_P4
ECO03,Pmas,Chicken,-18.66027,147.70274,4.6,OCCH_BA2S_P2
ECO03,Pmas,Chicken,-18.66045,147.70259,4.6,OCCH_BA2S_P3
ECO03,Shys,Little_Broadhurst,-18.944012,147.699129,4.6,OCLB_FL1S_P4
ECT1,Ahya,Moore,-16.84608109,146.2323077,4.6,Ahya_413
ECT1,Aspat,Chicken,-18.670196,147.707095,4.6,Aspat_1508
ECT1,Aken,Moore,-16.84574523,146.2322137,4.6,Aken_1062
ECT1,Aken,Moore,-16.84611445,146.2324581,4.6,Aken_1066
ECT1,Aken,Tydeman,-13.97098496,144.509612,4.6,Aken_1_Tydeman
ECT1,Aken,MacGillivray,-14.64134543,145.4915202,4.6,Aken_498
ECT1,Aken,Hicks,-14.47479819,145.5030107,4.6,Aken_1372
ECT1,Aken,Pelorus,-18.55923238,146.5023721,4.6,Aken_1920
ECT1,Aken,Pelorus,-18.55920967,146.5023961,4.6,Aken_1923
ECT1,Aken,Pelorus,-18.55939709,146.5023489,4.6,Aken_1933
ECT1,Aken,Chicken,-18.66980729,147.7069033,4.6,Aken_1884
ECO03,Ahya,Little_Broadhurst,-18.944082,147.699448,4.7,OCLB_FL1S
ECO03,Pver,Little_Broadhurst,-18.944062,147.699285,4.7,OCLB_FL1S
ECO03,Pver,Lizard_Island,-14.691127,145.469436,4.7,ONLI_FR1S_P4
ECO03,Pver,Lizard_Island,-14.650714,145.450096,4.7,ONLI_BA1S_P1
ECO03,Shys,Lady_Musgrave,-23.900174,152.3936205,4.7,CBLM_BA1S_P1
ECO03,Shys,Davies,-18.8193395,147.6639218,4.7,OCDA_FR1S_P34
ECT1,Aspat,Hicks,-14.474749,145.503085,4.7,Aspat_460
ECT1,Aken,Moore,-16.84580047,146.2316832,4.7,Aken_1076
ECT1,Aken,Tydeman,-13.97090013,144.5095978,4.7,Aken_2_Tydeman
ECT1,Aken,Hicks,-14.47499726,145.5026986,4.7,Aken_1384
ECT1,Aken,Hicks,-14.47535324,145.5020175,4.7,Aken_1469
ECT1,Aken,Hicks,-14.47539045,145.5019646,4.7,Aken_1470
ECT1,Aken,Hicks,-14.47540445,145.5019662,4.7,Aken_1471
ECT1,Aken,Pelorus,-18.55914177,146.5022074,4.7,Aken_1824
ECT1,Aken,Chicken,-18.66999831,147.7062937,4.7,Aken_1874
ECT1,Aken,Davies,-18.826729,147.6266147,4.7,Aken_2025
ECO03,Pver,Heron,-23.428454,151.9524855,4.8,CBHE_BA1S_P2
ECO03,Pver,Lizard_Island,-14.691301,145.4694115,4.8,ONLI_FR1S_P3
ECO03,Pdam,Halfway,-23.2015605,150.966428,4.8,KEHW_BA1S_P1
ECO03,Shys,Davies,-18.80563,147.66845,4.8,OCDA_FL1S_P3
ECO03,Pmas,Chicken,-18.653383,147.7084325,4.8,OCCH_BA1S_P4
ECT1,Ahya,Reef21-550,-21.96286744,152.3072024,4.8,Ahya_17a
ECT1,Aken,Myrmidon,-18.27797284,147.3789485,4.8,Aken_13
ECT1,Aken,Myrmidon,-18.27795331,147.378726,4.8,Aken_9
ECT1,Aken,Kelso,-18.42430042,146.9864359,4.8,Aken_1816
ECT1,Aken,Pelorus,-18.55911973,146.5024784,4.8,Aken_1927
ECO03,Spis,Davies,-18.8192,147.66391,4.9,OCDA_FR1S
ECO03,Spis,Lizard_Island,-14.649595,145.493099,4.9,ONLI_FR2S_P1
ECO03,Shys,Lady_Musgrave,-23.8853215,152.413674,4.9,CBLM_FL1S_P4
ECO03,Pmas,Davies,-18.83192685,147.6524971,4.9,OCDA_FR2S_P1
ECO03,Pmas,Davies,-18.81961901,147.6637135,4.9,OCDA_FR1S_P1
ECT1,Aken,No_Name,-14.65085395,145.6381966,4.9,Aken_1340
ECT1,Aken,Pelorus,-18.5592986,146.5024177,4.9,Aken_1912
ECT1,Aken,Pelorus,-18.5592323,146.5023747,4.9,Aken_1921
ECT1,Aken,Pelorus,-18.55920556,146.5024016,4.9,Aken_1922
ECT1,Aken,Pelorus,-18.55909986,146.502398,4.9,Aken_1929
ECT1,Aken,Pelorus,-18.55949331,146.5022597,4.9,Aken_1937
ECT1,Aken,Chicken,-18.66996101,147.7068039,4.9,Aken_1880
ECT1,Aken,Chicken,-18.66984459,147.7067902,4.9,Aken_1886
ECT1,Aken,Chicken,-18.67039494,147.7068034,4.9,Aken_1972
ECT1,Aken,Chicken,-18.67040148,147.7068001,4.9,Aken_1973
ECT1,Aken,Davies,-18.82517776,147.6269794,4.9,Aken_1982
ECO03,Pver,Heron,-23.4284645,151.9522105,5,CBHE_BA1S_P4
ECO03,Pdam,Lizard_Island,-14.6914335,145.4693475,5,ONLI_FR1S_P2
ECO03,Spis,Lady_Musgrave,-23.917564,152.392285,5,CBLM_FL2S_P2
ECO03,Pmas,Chicken,-18.65208652,147.718515,5,OCCH_FL1S_P2
ECT1,Aken,Tydeman,-13.97109778,144.5103629,5,Aken_16_Tydeman
ECT1,Aken,Hicks,-14.4750121,145.5026657,5,Aken_1459
ECT1,Aken,Myrmidon,-18.27784234,147.3788077,5,Aken_11
ECT1,Aken,Myrmidon,-18.27797921,147.3787955,5,Aken_7
ECT1,Aken,Pelorus,-18.5593882,146.50239,5,Aken_1932
ECT1,Aken,Chicken,-18.67048346,147.7063299,5,Aken_1865
ECT1,Aken,Chicken,-18.6698207,147.7068951,5,Aken_1883
ECT1,Aken,Chicken,-18.67054733,147.7067148,5,Aken_1965
ECT1,Aken,Chicken,-18.67035479,147.7067572,5,Aken_1970
ECO03,Spis,Lady_Musgrave,-23.917571,152.391971,5.1,CBLM_FL2S
ECO03,Pver,Heron,-23.428403,151.952614,5.1,CBHE_BA1S_P1
ECO03,Pmas,Lady_Musgrave,-23.8852145,152.413594,5.1,CBLM_FL1S_P3
ECO03,Pver,Lady_Musgrave,-23.917494,152.392486,5.1,CBLM_FL2S_P3
ECO03,Pmas,Chicken,-18.6531735,147.7085495,5.1,OCCH_BA1S_P2
ECO03,Pmas,Chicken,-18.653342,147.708605,5.1,OCCH_BA1S_P3
ECT1,Aken,Moore,-16.84608562,146.2323827,5.1,Aken_1065
ECT1,Aken,Pelorus,-18.55934755,146.5024037,5.1,Aken_1915
ECT1,Aken,Chicken,-18.67059829,147.7065983,5.1,Aken_1898
ECT1,Aken,Chicken,-18.67061086,147.7066658,5.1,Aken_1900
ECT1,Aken,Chicken,-18.67042922,147.7065433,5.1,Aken_1961
ECT1,Aken,Chicken,-18.67052176,147.7067376,5.1,Aken_1966
