Site,Latitude,Longitude,Variable,Depth,mmm,mean_annual,monthly_variability
CBHE_BA2D,-23.434075,151.920269,salt,-18,35.63866018790104,35.58482351137578,0.0022082803613846947
CBHE_BA2D,-23.434075,151.920269,salt,-13,35.6387958980041,35.585895392489554,0.002204068899722692
CBHE_BA2D,-23.434075,151.920269,salt,-9,35.63881341406069,35.58620300915302,0.0022025391130053753
CBHE_BA2D,-23.434075,151.920269,salt,-5.35,35.63868519030298,35.58613649949912,0.0022025648126576813
CBHE_BA2D,-23.434075,151.920269,salt,-2.35,35.63613507127304,35.58563708226623,0.0021949158898239805
CBHE_BA2D,-23.434075,151.920269,salt,-0.5,35.63535210618781,35.583260133499245,0.0021896945169522894
CBHE_BA2D,-23.434075,151.920269,temp,-24,27.346806256641894,25.020686672155712,0.08428616347410336
CBHE_BA2D,-23.434075,151.920269,temp,-18,27.35838307388598,25.026012616102978,0.08461188529879007
CBHE_BA2D,-23.434075,151.920269,temp,-13,27.365169566232804,25.02907587980709,0.0847969569011793
CBHE_BA2D,-23.434075,151.920269,temp,-9,27.366339849587703,25.028574537722516,0.08488266524053578
CBHE_BA2D,-23.434075,151.920269,temp,-5.35,27.364063791497923,25.026584307414886,0.08488707938669607
CBHE_BA2D,-23.434075,151.920269,temp,-2.35,27.36257328875859,25.02485962128009,0.08488616742160648
CBHE_BA2D,-23.434075,151.920269,temp,-0.5,27.358486511993032,25.02041653758201,0.08489129711371282
CBHE_BA2D,-23.434075,151.920269,u,-24,0.003049302210843749,-1.7689738175460302e-4,-1.4985091589361563
CBHE_BA2D,-23.434075,151.920269,u,-18,0.007924215129464719,0.002065480941388223,-2.567043535527387
CBHE_BA2D,-23.434075,151.920269,u,-13,0.0012794461999999997,-0.003941448616149924,-0.976161982084386
CBHE_BA2D,-23.434075,151.920269,u,-9,-0.004052037421030336,-0.00999073503945929,-0.6656611224886873
CBHE_BA2D,-23.434075,151.920269,u,-5.35,-0.004203028162409021,-0.011275886085834314,-0.6649741162967343
CBHE_BA2D,-23.434075,151.920269,u,-2.35,-0.005103265151240397,-0.012636616153490437,-0.6296777746695751
CBHE_BA2D,-23.434075,151.920269,u,-0.5,-0.00847909195140654,-0.01676395494539269,-0.5446035117108995
CBHE_BA2D,-23.434075,151.920269,v,-24,0.0017818372585306364,5.492381972644968e-4,1.5496043211491062
CBHE_BA2D,-23.434075,151.920269,v,-18,0.008088710178843552,0.006124499243189015,0.38992691102169097
CBHE_BA2D,-23.434075,151.920269,v,-13,0.02155051345934032,0.013682623495967236,0.3064090910612059
CBHE_BA2D,-23.434075,151.920269,v,-9,0.037719015374706275,0.02382686642863548,0.30657807603052845
CBHE_BA2D,-23.434075,151.920269,v,-5.35,0.04307968878219133,0.02632639161451687,0.3289230479684023
CBHE_BA2D,-23.434075,151.920269,v,-2.35,0.04510281065127004,0.027714254105716443,0.322131639770368
CBHE_BA2D,-23.434075,151.920269,v,-0.5,0.05104820796420529,0.030795298493944464,0.34660478410836443
CBHE_BA2D,-23.434075,151.920269,wspeed_u,99999.9,-2.248910298333333,-3.638151482719697,-0.2704161340507261
CBHE_BA2D,-23.434075,151.920269,wspeed_v,99999.9,4.352574300722628,1.8038125553824234,0.844390116147784
CBHE_BA2S,-23.433982,151.920934,eta,99999.9,-0.014696208011251575,-0.11099264002349442,-0.4537787136874531
CBHE_BA2S,-23.433982,151.920934,salt,-24,35.63695012063349,35.58251087477356,0.0022142001960880797
CBHE_BA2S,-23.433982,151.920934,salt,-18,35.637821494295515,35.58359202720233,0.00221188627258799
CBHE_BA2S,-23.433982,151.920934,salt,-13,35.63816321730575,35.58506459439126,0.002206559302945231
CBHE_BA2S,-23.433982,151.920934,salt,-9,35.63829213526752,35.58552702854289,0.002204597747241076
CBHE_BA2S,-23.433982,151.920934,salt,-5.35,35.638106668256135,35.58545409037005,0.0022044757264953413
CBHE_BA2S,-23.433982,151.920934,salt,-2.35,35.63520424219909,35.584931517953414,0.0021957426613362988
CBHE_BA2S,-23.433982,151.920934,salt,-0.5,35.63432778998439,35.58244085001466,0.002189864912209241
CBHE_BA2S,-23.433982,151.920934,temp,-24,27.33854634166175,25.01789831113476,0.08406826103012585
CBHE_BA2S,-23.433982,151.920934,temp,-18,27.347120030724113,25.020898197052205,0.08434366326397963
CBHE_BA2S,-23.433982,151.920934,temp,-13,27.3581421149758,25.025977487232733,0.08461941320225036
CBHE_BA2S,-23.433982,151.920934,temp,-9,27.36076076457839,25.026167236010266,0.08473828952543422
CBHE_BA2S,-23.433982,151.920934,temp,-5.35,27.358565398938453,25.02424800302444,0.08474268182934568
CBHE_BA2S,-23.433982,151.920934,temp,-2.35,27.35711373262987,25.0225392425689,0.08474115600511767
CBHE_BA2S,-23.433982,151.920934,temp,-0.5,27.353089510995606,25.018090004442723,0.08474577969879142
CBHE_BA2S,-23.433982,151.920934,u,-24,0.007251609834691174,0.002699522580071383,-4.672734326524174
CBHE_BA2S,-23.433982,151.920934,u,-18,0.009855597980994482,0.003600335983249777,-4.229367202287979
CBHE_BA2S,-23.433982,151.920934,u,-13,0.003683562487071426,-0.0016402765454780843,-1.2699923116524805
CBHE_BA2S,-23.433982,151.920934,u,-9,-0.0018632182138077018,-0.00765018440479819,-0.758562268482149
CBHE_BA2S,-23.433982,151.920934,u,-5.35,-0.0022505563998380896,-0.00902529612294106,-0.744724361097145
CBHE_BA2S,-23.433982,151.920934,u,-2.35,-0.0030746330342316546,-0.01032590027459353,-0.7012696788187426
CBHE_BA2S,-23.433982,151.920934,u,-0.5,-0.0064837506340702554,-0.014496530726634515,-0.5898293168378648
CBHE_BA2S,-23.433982,151.920934,v,-24,0.0038892341111111113,0.0021311558643744045,0.5222356012038263
CBHE_BA2S,-23.433982,151.920934,v,-18,0.006774730464013982,0.00479861385489832,0.5106141488106202
CBHE_BA2S,-23.433982,151.920934,v,-13,0.016422864345589008,0.00988680141748611,0.35639736689519613
CBHE_BA2S,-23.433982,151.920934,v,-9,0.032567065940205836,0.020124202188254985,0.3252810672740192
CBHE_BA2S,-23.433982,151.920934,v,-5.35,0.03807818338804388,0.02275993703533758,0.3502540907888869
CBHE_BA2S,-23.433982,151.920934,v,-2.35,0.040059293633048214,0.02410510846037134,0.3417727077826484
CBHE_BA2S,-23.433982,151.920934,v,-0.5,0.04592984170019758,0.02714476508407273,0.36736798636153994
CBHE_BA2S,-23.433982,151.920934,wspeed_u,99999.9,-2.250473994777778,-3.638393538151515,-0.27024005231864306
CBHE_BA2S,-23.433982,151.920934,wspeed_v,99999.9,4.351560306265744,1.8031434477839337,0.8440195967897554
